country,year,sex,age,suicides_no
Albania,1987,male,15-24 years,21
Albania,1987,male,35-54 years,16
Albania,1987,female,15-24 years,14
Albania,1987,male,75+ years,1
Albania,1987,male,25-34 years,9
Albania,1987,female,75+ years,1
Albania,1987,female,35-54 years,6
Albania,1987,female,25-34 years,4
Albania,1987,male,55-74 years,1
Albania,1987,female,5-14 years,0
Albania,1987,female,55-74 years,0
Albania,1987,male,5-14 years,0
Albania,1988,female,75+ years,2
Albania,1988,male,15-24 years,17
Albania,1988,male,75+ years,1
Albania,1988,male,35-54 years,14
Albania,1988,male,55-74 years,4
Albania,1988,female,15-24 years,8
Albania,1988,female,55-74 years,3
Albania,1988,female,25-34 years,5
Albania,1988,male,25-34 years,5
Albania,1988,female,35-54 years,4
Albania,1988,female,5-14 years,0
Albania,1988,male,5-14 years,0
Albania,1989,male,75+ years,2
Albania,1989,male,25-34 years,18
Albania,1989,male,35-54 years,15
Albania,1989,male,55-74 years,6
Albania,1989,male,15-24 years,12
Albania,1989,female,35-54 years,7
Albania,1989,female,15-24 years,5
Albania,1989,female,25-34 years,2
Albania,1989,female,55-74 years,1
Albania,1989,female,5-14 years,0
Albania,1989,female,75+ years,0
Albania,1989,male,5-14 years,0
Albania,1992,male,35-54 years,12
Albania,1992,male,15-24 years,9
Albania,1992,male,55-74 years,5
Albania,1992,male,25-34 years,7
Albania,1992,female,15-24 years,7
Albania,1992,female,25-34 years,4
Albania,1992,female,35-54 years,2
Albania,1992,female,55-74 years,1
Albania,1992,female,5-14 years,0
Albania,1992,female,75+ years,0
Albania,1992,male,5-14 years,0
Albania,1992,male,75+ years,0
Albania,1993,male,15-24 years,18
Albania,1993,male,55-74 years,7
Albania,1993,male,75+ years,1
Albania,1993,male,25-34 years,9
Albania,1993,female,15-24 years,10
Albania,1993,male,35-54 years,10
Albania,1993,female,25-34 years,7
Albania,1993,female,35-54 years,7
Albania,1993,female,55-74 years,2
Albania,1993,female,5-14 years,1
Albania,1993,male,5-14 years,1
Albania,1993,female,75+ years,0
Albania,1994,male,75+ years,2
Albania,1994,male,55-74 years,11
Albania,1994,female,75+ years,2
Albania,1994,male,25-34 years,6
Albania,1994,male,35-54 years,9
Albania,1994,male,15-24 years,6
Albania,1994,female,15-24 years,6
Albania,1994,female,25-34 years,4
Albania,1994,female,35-54 years,2
Albania,1994,female,55-74 years,1
Albania,1994,male,5-14 years,1
Albania,1994,female,5-14 years,0
Albania,1995,male,25-34 years,13
Albania,1995,male,55-74 years,9
Albania,1995,female,75+ years,2
Albania,1995,female,15-24 years,13
Albania,1995,male,15-24 years,11
Albania,1995,male,75+ years,1
Albania,1995,male,35-54 years,14
Albania,1995,female,25-34 years,7
